classifier,metric,split,value
GradientBoostingClassifier,specificity,test,0.8048780487804879
GradientBoostingClassifier,specificity,train,1.0
GradientBoostingClassifier,sensitivity,test,0.74
GradientBoostingClassifier,sensitivity,train,1.0
GradientBoostingClassifier,f1,test,0.7789473684210526
GradientBoostingClassifier,f1,train,1.0
GradientBoostingClassifier,percision,test,0.8222222222222222
GradientBoostingClassifier,percision,train,1.0
GradientBoostingClassifier,accuracy,test,0.7692307692307693
GradientBoostingClassifier,accuracy,train,1.0
RandomForestClassifier,specificity,test,0.8048780487804879
RandomForestClassifier,specificity,train,1.0
RandomForestClassifier,sensitivity,test,0.84
RandomForestClassifier,sensitivity,train,1.0
RandomForestClassifier,f1,test,0.8399999999999999
RandomForestClassifier,f1,train,1.0
RandomForestClassifier,percision,test,0.84
RandomForestClassifier,percision,train,1.0
RandomForestClassifier,accuracy,test,0.8241758241758241
RandomForestClassifier,accuracy,train,1.0
DecisionTreeClassifier,specificity,test,0.7804878048780488
DecisionTreeClassifier,specificity,train,1.0
DecisionTreeClassifier,sensitivity,test,0.72
DecisionTreeClassifier,sensitivity,train,1.0
DecisionTreeClassifier,f1,test,0.7578947368421052
DecisionTreeClassifier,f1,train,1.0
DecisionTreeClassifier,percision,test,0.8
DecisionTreeClassifier,percision,train,1.0
DecisionTreeClassifier,accuracy,test,0.7472527472527473
DecisionTreeClassifier,accuracy,train,1.0
SVC,specificity,test,0.8780487804878049
SVC,specificity,train,0.9175257731958762
SVC,sensitivity,test,0.86
SVC,sensitivity,train,0.9043478260869565
SVC,f1,test,0.8775510204081632
SVC,f1,train,0.9162995594713658
SVC,percision,test,0.8958333333333334
SVC,percision,train,0.9285714285714286
SVC,accuracy,test,0.8681318681318682
SVC,accuracy,train,0.910377358490566
LogisticRegression,specificity,test,0.8048780487804879
LogisticRegression,specificity,train,0.8247422680412371
LogisticRegression,sensitivity,test,0.9
LogisticRegression,sensitivity,train,0.9043478260869565
LogisticRegression,f1,test,0.8737864077669903
LogisticRegression,f1,train,0.8813559322033899
LogisticRegression,percision,test,0.8490566037735849
LogisticRegression,percision,train,0.859504132231405
LogisticRegression,accuracy,test,0.8571428571428571
LogisticRegression,accuracy,train,0.8679245283018868
